name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Al Harrington,/players/h/harrial01.html,1,1998,1,25,,1998
Rashard Lewis,/players/l/lewisra02.html,2,1998,2,32,,1998
Korleone Young,/players/y/youngko01.html,3,1998,2,40,,1998
Dan Gadzuric,/players/g/gadzuda01.html,4,2002,2,34,"University of California, Los Angeles",1998
Stromile Swift,/players/s/swiftst01.html,5,2000,1,2,Louisiana State University,1998
Ronald Curry,https://www.sports-reference.com/cbb/players/ronald-curry-1.html,6,,,,University of North Carolina,1998
JaRon Rush,https://www.sports-reference.com/cbb/players/jaron-rush-1.html,7,,,,"University of California, Los Angeles",1998
Joel Przybilla,/players/p/przybjo01.html,8,2000,1,9,University of Minnesota,1998
Quentin Richardson,/players/r/richaqu01.html,9,2000,1,18,DePaul University,1998
Jason Capel,https://www.sports-reference.com/cbb/players/jason-capel-1.html,10,,,,University of North Carolina,1998
Vincent Yarbrough,/players/y/yarbrvi01.html,11,2002,2,33,University of Tennessee,1998
Tayshaun Prince,/players/p/princta01.html,12,2002,1,23,University of Kentucky,1998
Mike Miller,/players/m/millemi01.html,13,2000,1,5,University of Florida,1998
Kevin Lyde,https://www.sports-reference.com/cbb/players/kevin-lyde-1.html,14,,,,Temple University,1998
Dane Fife,https://www.sports-reference.com/cbb/players/dane-fife-1.html,14,,,,Indiana University,1998
Ray Young,https://www.sports-reference.com/cbb/players/ray-young-1.html,16,,,,"University of California, Los Angeles",1998
Corey Maggette,/players/m/maggeco01.html,16,1999,1,13,Duke University,1998
Corey Hightower,,18,,,,Indian Hills Community College,1998
Keyon Dooling,/players/d/doolike01.html,19,2000,1,10,University of Missouri,1998
Teddy Dupay,https://www.sports-reference.com/cbb/players/teddy-dupay-1.html,20,,,,University of Florida,1998
Frank Williams,/players/w/willifr02.html,21,2002,1,25,University of Illinois at Urbana-Champaign,1998
Kris Lang,https://www.sports-reference.com/cbb/players/kris-lang-1.html,22,,,,University of North Carolina,1998
Anthony Glover,https://www.sports-reference.com/cbb/players/anthony-glover-1.html,23,,,,St. John's University,1998
Lance Williams,https://www.sports-reference.com/cbb/players/lance-williams-1.html,24,,,,DePaul University,1998
Adam Harrington,/players/h/harriad01.html,25,,,,Auburn University,1998
Bobby Simmons,/players/s/simmobo01.html,26,2001,2,42,DePaul University,1998
Dan Miller,https://www.sports-reference.com/cbb/players/dan-miller-1.html,27,,,,University of Notre Dame,1998
Lloyd Price,https://www.sports-reference.com/cbb/players/lloyd-price-1.html,28,,,,Xavier University,1998
Erick Barkley,/players/b/barkler01.html,29,2000,1,28,St. John's University,1998
Michael Wright,https://www.sports-reference.com/cbb/players/michael-wright-1.html,29,,,,University of Arizona,1998
Jules Camara,https://www.sports-reference.com/cbb/players/jules-camara-1.html,31,,,,University of Kentucky,1998
Antonio Latimer,,32,,,,,1998
Robert Jackson,https://www.sports-reference.com/cbb/players/robert-jackson-1.html,33,,,,Marquette University,1998
Richard Jefferson,/players/j/jefferi01.html,33,2001,1,13,University of Arizona,1998
B.B. Waldon,https://www.sports-reference.com/cbb/players/bb-waldon-1.html,35,,,,University of South Florida,1998
Doug Wrenn,https://www.sports-reference.com/cbb/players/doug-wrenn-1.html,36,,,,University of Washington,1998
Ronald Blackshear,https://www.sports-reference.com/cbb/players/ronald-blackshear-1.html,37,,,,Marshall University,1998
Rasual Butler,/players/b/butlera01.html,37,2002,2,53,La Salle University,1998
Tony Bland,https://www.sports-reference.com/cbb/players/tony-bland-1.html,39,,,,San Diego State University,1998
Jeff Boschee,https://www.sports-reference.com/cbb/players/jeff-boschee-1.html,40,,,,University of Kansas,1998
Travis Robinson,https://www.sports-reference.com/cbb/players/travis-robinson-1.html,41,,,,Jacksonville University,1998
Tony Kitchings,https://www.sports-reference.com/cbb/players/tony-kitchings-1.html,42,,,,University of South Carolina,1998
Ruben Douglas,https://www.sports-reference.com/cbb/players/ruben-douglas-1.html,43,,,,University of New Mexico,1998
Paris London,https://www.sports-reference.com/cbb/players/paris-london-1.html,43,,,,Arkansas State University,1998
Joey Range,https://www.sports-reference.com/cbb/players/joey-range-1.html,45,,,,University of Iowa,1998
Fred Primus,https://www.sports-reference.com/cbb/players/fred-primus-1.html,46,,,,East Carolina University,1998
Troy Murphy,/players/m/murphtr01.html,46,2001,1,14,University of Notre Dame,1998
Jose Winston,https://www.sports-reference.com/cbb/players/jose-winston-1.html,48,,,,University of Colorado,1998
Sam Clancy,https://www.sports-reference.com/cbb/players/sam-clancy-1.html,49,,,,University of Southern California,1998
Brandon Dean,https://www.sports-reference.com/cbb/players/brandon-dean-1.html,50,,,,University of Arkansas,1998
Eugene Land,https://www.sports-reference.com/cbb/players/eugene-land-1.html,51,,,,University of Cincinnati,1998
Chris Richardson,https://www.sports-reference.com/cbb/players/chris-richardson-1.html,52,,,,"University of Nevada, Las Vegas",1998
Ladarius Halton,https://www.sports-reference.com/cbb/players/ladarius-halton-1.html,53,,,,University of Florida,1998
Fred Jones,/players/j/jonesfr01.html,54,2002,1,14,University of Oregon,1998
Matt Barnes,/players/b/barnema02.html,54,2002,2,46,"University of California, Los Angeles",1998
Tony Akins,https://www.sports-reference.com/cbb/players/tony-akins-1.html,56,,,,Georgia Institute of Technology,1998
Broderick Hicks,https://www.sports-reference.com/cbb/players/broderick-hicks-1.html,57,,,,Wake Forest University,1998
Darius Songaila,/players/s/songada01.html,58,2002,2,50,Wake Forest University,1998
Kevin Braswell,https://www.sports-reference.com/cbb/players/kevin-braswell-1.html,59,,,,Georgetown University,1998
De Angelo McDaniel,https://www.sports-reference.com/cbb/players/de-angelo-mcdaniel-1.html,60,,,,University of Tulsa,1998
Desmond Allison,https://www.sports-reference.com/cbb/players/desmond-allison-1.html,61,,,,University of Kentucky,1998
Clarence Gilbert,https://www.sports-reference.com/cbb/players/clarence-gilbert-1.html,62,,,,University of Missouri,1998
D.A. Layne,https://www.sports-reference.com/cbb/players/da-layne-1.html,63,,,,University of Georgia,1998
Bobby Smith,https://www.sports-reference.com/cbb/players/bobby-smith-2.html,64,,,,Villanova University,1998
Keith Bean,https://www.sports-reference.com/cbb/players/keith-bean-1.html,64,,,,Texas A&M University,1998
Ernest Brown,/players/b/browner01.html,66,2000,2,52,Indian Hills Community College,1998
Rick Anderson,https://www.sports-reference.com/cbb/players/rick-anderson-1.html,67,,,,University of Arizona,1998
Cedric Taylor,,67,,,,,1998
Louis Truscott,https://www.sports-reference.com/cbb/players/louis-truscott-1.html,69,,,,University of Houston,1998
Craig Dawson,https://www.sports-reference.com/cbb/players/craig-dawson-1.html,70,,,,Wake Forest University,1998
Luke Walton,/players/w/waltolu01.html,71,2003,2,32,University of Arizona,1998
Udonis Haslem,/players/h/hasleud01.html,72,,,,University of Florida,1998
Desmond Herod,https://www.sports-reference.com/cbb/players/desmond-herod-1.html,72,,,,Seton Hall University,1998
Scott Clark,,74,,,,,1998
Jerome Moiso,/players/m/moisoje01.html,75,2000,1,11,"University of California, Los Angeles",1998
Antwan Scott,https://www.sports-reference.com/cbb/players/antwan-scott-1.html,76,,,,Wake Forest University,1998
J.R. Vanhoose,https://www.sports-reference.com/cbb/players/jr-vanhoose-1.html,77,,,,Marshall University,1998
Schea Cotton,https://www.sports-reference.com/cbb/players/schea-cotton-1.html,78,,,,University of Alabama,1998
David Hamilton,https://www.sports-reference.com/cbb/players/david-hamilton-1.html,79,,,,Auburn University,1998
Lonny Baxter,/players/b/baxtelo01.html,80,2002,2,44,University of Maryland,1998
Kueth Duany,https://www.sports-reference.com/cbb/players/kueth-duany-1.html,81,,,,Syracuse University,1998
Traves Wilson,https://www.sports-reference.com/cbb/players/traves-wilson-1.html,82,,,,Illinois State University,1998
Steve Bynes,,82,,,,,1998
John Salmons,/players/s/salmojo01.html,82,2002,1,26,University of Miami,1998
Ajou Deng,https://www.sports-reference.com/cbb/players/ajou-deng-1.html,85,,,,University of Connecticut,1998
Tyrus Boswell,https://www.sports-reference.com/cbb/players/tyrus-boswell-1.html,86,,,,Mississippi State University,1998
Chris Jefferies,/players/j/jeffech01.html,87,2002,1,27,"California State University, Fresno",1998
Marqus Ledoux,https://www.sports-reference.com/cbb/players/marqus-ledoux-1.html,88,,,,University of Tulsa,1998
David Graves,https://www.sports-reference.com/cbb/players/david-graves-1.html,88,,,,University of Notre Dame,1998
Damon Hancock,https://www.sports-reference.com/cbb/players/damon-hancock-1.html,90,,,,Southern Methodist University,1998
Dahntay Jones,/players/j/jonesda02.html,91,2003,1,20,Duke University,1998
Dennis Gates,https://www.sports-reference.com/cbb/players/dennis-gates-1.html,92,,,,University of California,1998
Mack McGadney,https://www.sports-reference.com/cbb/players/mack-mcgadney-1.html,93,,,,Auburn University,1998
Jermaine Williams,https://www.sports-reference.com/cbb/players/jermaine-williams-1.html,94,,,,Louisiana State University,1998
Kyle Hornsby,https://www.sports-reference.com/cbb/players/kyle-hornsby-1.html,95,,,,Indiana University,1998
Donte Smith,https://www.sports-reference.com/cbb/players/donte-smith-1.html,96,,,,University of California,1998
Dennis Nathan,https://www.sports-reference.com/cbb/players/dennis-nathan-1.html,97,,,,"California State University, Fresno",1998
Sam Haginas,https://www.sports-reference.com/cbb/players/sam-haginas-1.html,98,,,,University of Alabama,1998
Aaron Matthews,https://www.sports-reference.com/cbb/players/aaron-matthews-1.html,98,,,,Delaware State University,1998
Brian Brown,https://www.sports-reference.com/cbb/players/brian-brown-2.html,100,,,,Ohio State University,1998
