name,link,year_from,year_to,college,active
Alaa Abdelnaby,/players/a/abdelal01.html,1991,1995,Duke University,false
Zaid Abdul-Aziz,/players/a/abdulza01.html,1969,1978,Iowa State University,false
Kareem Abdul-Jabbar,/players/a/abdulka01.html,1970,1989,"University of California, Los Angeles",false
Mahmoud Abdul-Rauf,/players/a/abdulma02.html,1991,2001,Louisiana State University,false
Tariq Abdul-Wahad,/players/a/abdulta01.html,1998,2003,San Jose State University,false
Shareef Abdur-Rahim,/players/a/abdursh01.html,1997,2008,University of California,false
Tom Abernethy,/players/a/abernto01.html,1977,1981,Indiana University,false
Alex Abrines,/players/a/abrinal01.html,2017,2017,,true
Alex Acker,/players/a/ackeral01.html,2006,2009,Pepperdine University,false
Mark Acres,/players/a/acresma01.html,1988,1993,Oral Roberts University,false
Quincy Acy,/players/a/acyqu01.html,2013,2017,Baylor University,true
Alvan Adams,/players/a/adamsal01.html,1976,1988,University of Oklahoma,false
Don Adams,/players/a/adamsdo01.html,1971,1977,Northwestern University,false
Hassan Adams,/players/a/adamsha01.html,2007,2009,University of Arizona,false
Jordan Adams,/players/a/adamsjo01.html,2015,2016,"University of California, Los Angeles",true
Michael Adams,/players/a/adamsmi01.html,1986,1996,Boston College,false
Steven Adams,/players/a/adamsst01.html,2014,2017,University of Pittsburgh,true
Rafael Addison,/players/a/addisra01.html,1987,1997,Syracuse University,false
Jeff Adrien,/players/a/adrieje01.html,2011,2015,University of Connecticut,false
Arron Afflalo,/players/a/afflaar01.html,2008,2017,"University of California, Los Angeles",true
Maurice Ager,/players/a/agerma01.html,2007,2011,Michigan State University,false
Mark Aguirre,/players/a/aguirma01.html,1982,1994,DePaul University,false
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,Missouri State University,false
Danny Ainge,/players/a/aingeda01.html,1982,1995,Brigham Young University,false
Alexis Ajinca,/players/a/ajincal01.html,2009,2017,,true
Josh Akognon,/players/a/akognjo01.html,2013,2013,"California State University, Fullerton",true
Solomon Alabi,/players/a/alabiso01.html,2011,2012,Florida State University,true
Mark Alarie,/players/a/alarima01.html,1987,1991,Duke University,false
Furkan Aldemir,/players/a/aldemfu01.html,2015,2015,,true
Cole Aldrich,/players/a/aldrico01.html,2011,2017,University of Kansas,true
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2017,University of Texas at Austin,true
Chuck Aleksinas,/players/a/aleksch01.html,1985,1985,University of Connecticut,false
Cliff Alexander,/players/a/alexacl01.html,2016,2016,University of Kansas,true
Cory Alexander,/players/a/alexaco01.html,1996,2005,University of Virginia,false
Courtney Alexander,/players/a/alexaco02.html,2001,2003,"California State University, Fresno",false
Gary Alexander,/players/a/alexaga01.html,1994,1994,University of South Florida,false
Joe Alexander,/players/a/alexajo01.html,2009,2010,West Virginia University,false
Victor Alexander,/players/a/alexavi01.html,1992,2002,Iowa State University,false
Steve Alford,/players/a/alforst01.html,1988,1991,Indiana University,false
Jerome Allen,/players/a/allenje01.html,1996,1997,University of Pennsylvania,false
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,true
Lucius Allen,/players/a/allenlu01.html,1970,1979,"University of California, Los Angeles",false
Malik Allen,/players/a/allenma01.html,2002,2011,Villanova University,false
Randy Allen,/players/a/allenra01.html,1989,1990,Florida State University,false
Ray Allen,/players/a/allenra02.html,1997,2014,University of Connecticut,false
Tony Allen,/players/a/allento01.html,2005,2017,Oklahoma State University,true
Lance Allred,/players/a/allrela01.html,2008,2008,Weber State University,false
Darrell Allums,/players/a/allumda01.html,1981,1981,"University of California, Los Angeles",false
Morris Almond,/players/a/almonmo01.html,2008,2012,Rice University,false
Derrick Alston,/players/a/alstode01.html,1995,1997,Duquesne University,false
Rafer Alston,/players/a/alstora01.html,2000,2010,"California State University, Fresno",false
Peter Aluma,/players/a/alumape01.html,1999,1999,Liberty University,false
John Amaechi,/players/a/amaecjo01.html,1996,2003,Pennsylvania State University,false
Ashraf Amaya,/players/a/amayaas01.html,1996,1997,Southern Illinois University,false
Al-Farouq Aminu,/players/a/aminual01.html,2011,2017,Wake Forest University,true
Lou Amundson,/players/a/amundlo01.html,2007,2016,"University of Nevada, Las Vegas",true
Chris Andersen,/players/a/anderch01.html,2002,2017,Blinn College,true
David Andersen,/players/a/anderda03.html,2010,2011,,false
Alan Anderson,/players/a/anderal01.html,2006,2017,Michigan State University,true
Antonio Anderson,/players/a/anderan02.html,2010,2010,University of Memphis,false
Derek Anderson,/players/a/anderde01.html,1998,2008,University of Kentucky,false
Dwight Anderson,/players/a/anderdw01.html,1983,1983,University of Southern California,false
Eric Anderson,/players/a/anderer01.html,1993,1994,Indiana University,false
Greg Anderson,/players/a/andergr01.html,1988,1998,University of Houston,false
